Date,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Quality,Duration,Bedtime,Wake Time
8/5/2024,82,54,0,97,13,Good,7h 4min,11:53 PM,7:02 AM
8/4/2024,77,57,0,97,15,Fair,6h 23min,11:39 PM,6:02 AM
8/3/2024,80,58,32,96,15,Good,7h 43min,11:51 PM,7:39 AM
8/2/2024,48,60,23,97,16,Poor,6h 22min,11:55 PM,6:29 AM
8/1/2024,84,57,49,95,14,Good,7h 40min,10:51 PM,6:46 AM
7/31/2024,67,58,33,94,15,Fair,5h 46min,1:28 AM,7:15 AM
7/30/2024,84,56,51,0,15,Good,8h 28min,10:38 PM,7:14 AM
7/29/2024,78,57,38,96,15,Fair,7h 10min,11:49 PM,7:00 AM
7/28/2024,73,58,38,95,14,Fair,6h 17min,1:20 AM,7:45 AM
7/27/2024,80,54,52,96,15,Good,6h 28min,12:58 AM,7:26 AM
7/26/2024,79,57,41,95,15,Fair,7h 44min,11:04 PM,7:20 AM
7/25/2024,82,51,57,96,15,Good,7h 0min,11:36 PM,7:09 AM
7/24/2024,77,57,34,0,15,Fair,7h 18min,10:51 PM,6:41 AM
7/23/2024,75,58,37,97,15,Fair,6h 45min,12:48 AM,8:03 AM
7/22/2024,82,53,52,97,14,Good,7h 12min,11:55 PM,7:37 AM
7/21/2024,88,55,55,97,15,Good,8h 17min,10:56 PM,7:33 AM
7/20/2024,74,58,35,96,16,Fair,6h 30min,11:52 PM,6:36 AM
7/19/2024,81,57,42,97,15,Good,7h 30min,11:51 PM,7:21 AM
7/18/2024,81,55,59,96,15,Good,6h 49min,12:23 AM,7:47 AM
7/17/2024,51,60,29,95,15,Poor,7h 44min,12:07 AM,7:58 AM
7/16/2024,76,59,39,95,15,Fair,8h 28min,10:58 PM,8:09 AM
7/15/2024,81,54,47,96,15,Good,8h 11min,10:50 PM,7:42 AM
7/14/2024,79,56,53,97,15,Fair,9h 3min,12:30 AM,9:58 AM
7/13/2024,78,57,39,96,15,Fair,6h 51min,11:59 PM,6:58 AM
7/12/2024,80,59,33,0,15,Good,7h 14min,12:04 AM,7:31 AM
7/11/2024,83,56,53,97,14,Good,7h 51min,11:42 PM,7:59 AM
7/10/2024,92,54,53,95,14,Excellent,7h 48min,11:00 PM,6:48 AM
7/9/2024,89,55,47,97,15,Good,7h 40min,11:58 PM,7:38 AM
